Provincia,Cantón,Municipalidad,Grado de Madurez Total 2025,cluster
Guanacaste,Abangares,Municipalidad de Abangares,Básico,1
San José,Acosta,Municipalidad de Acosta,Básico,1
Alajuela,Alajuela,Municipalidad de Alajuela,Básico,1
San José,Alajuelita,Municipalidad de Alajuelita,Básico,1
Cartago,Alvarado,Municipalidad de Alvarado,Inicial,1
San José,Aserri,Municipalidad de Aserrí,Básico,1
Alajuela,Atenas,Municipalidad de Atena,Básico,1
Guanacaste,Bagaces,Municipalidad de Bagaces,Básico,1
Heredia,Barva,Municipalidad de Barva,Básico,1
Heredia,Belen,Municipalidad de Belén,Intermedio,0
Puntarenas,Buenos Aires,Municipalidad de Buenos Aires,Básico,1
Guanacaste,Cañas,Municipalidad de Cañas,Básico,1
Guanacaste,Carrillo,Municipalidad de Carrillo,Básico,1
Cartago,Cartago,Municipalidad de Cartago,Intermedio,0
Puntarenas,Corredores,Municipalidad de Corredores,Básico,1
Puntarenas,Coto Brus,Municipalidad de Coto Brus,Básico,1
San José,Curridabat,Municipalidad de Curridabat,Intermedio,0
San José,Desamparados,Municipalidad de Desamparados,Intermedio,0
San José,Dota,Municipalidad de Dota,Básico,1
Cartago,El Guarco,Municipalidad de El Guarco,Básico,1
San José,Escazú,Municipalidad de Escazú,Intermedio,0
Puntarenas,Esparza,Municipalidad de Esparza,Intermedio,1
Heredia,Flores,Municipalidad de Flores,Básico,1
Puntarenas,Garabito,Municipalidad de Garabito,Inicial,1
San José,Goicoechea,Municipalidad de Goicoechea,Intermedio,0
Puntarenas,Golfito,Municipalidad de Golfito,Básico,1
Alajuela,Grecia,Municipalidad de Grecia,Básico,1
Limón,Guácimo,Municipalidad de Guácimo,Básico,1
Alajuela,Guatuso,Municipalidad de Guatuso,Inicial,1
Heredia,Heredia,Municipalidad de Heredia,Intermedio,0
Guanacaste,Hojancha,Municipalidad de Hojancha,Básico,1
Cartago,Jimenez,Municipalidad de Jiménez,Inicial,1
Guanacaste,La Cruz Guanacaste,Municipalidad de La Cruz,Inicial,1
Cartago,La Unión,Municipalidad de La Unión,Intermedio,0
San José,León Cortés,Municipalidad de León Cortés,Básico,1
Guanacaste,Liberia,Municipalidad de Liberia,Básico,1
Limón,Limón,Municipalidad de Limón,Básico,1
Alajuela,Los Chiles,Municipalidad de Los Chiles,Básico,1
Limón,Matina,Municipalidad de Matina,Intermedio,0
San José,Montes de Oca,Municipalidad de Montes de Oca,Intermedio,0
Puntarenas,Montes de Oro,Municipalidad de Montes de Oro,Básico,1
Puntarenas,MonteVerde,Municipalidad de Monteverde,Inicial,1
San José,Mora,Municipalidad de Mora,Básico,1
San José,Moravia,Municipalidad de Moravia,Intermedio,0
Guanacaste,Nandayure,Municipalidad de Nandayure,Básico,1
Alajuela,Naranjo,Municipalidad de Naranjo,Básico,1
Guanacaste,Nicoya,Municipalidad de Nicoya,Básico,1
Cartago,Oreamuno,Municipalidad de Oreamuno,Básico,1
Alajuela,Orotina,Municipalidad de Orotina,Intermedio,1
Puntarenas,Osa,Municipalidad de Osa,Básico,1
Alajuela,Palmares,Municipalidad de Palmares,Intermedio,0
Cartago,Paraiso,Municipalidad de Paraíso,Básico,1
Puntarenas,Parrita,Municipalidad de Parrita,Básico,1
San José,Perez Zeledon,Municipalidad de Pérez Zeledón,Intermedio,0
Alajuela,Poas,Municipalidad de Poás,Básico,1
Limón,Pococí,Municipalidad de Pococí,Básico,1
Puntarenas,Puerto Jiménez,Municipalidad de Puerto Jiménez,Inicial,1
Puntarenas,Puntarenas,Municipalidad de Puntarenas,Básico,1
San José,Puriscal,Municipalidad de Puriscal,Básico,1
Puntarenas,Quepos,Municipalidad de Quepos,Básico,1
Alajuela,Río Cuarto,Municipalidad de Río Cuarto,Básico,1
Alajuela,San Carlos,Municipalidad de San Carlos,Básico,1
Heredia,San Isidro,Municipalidad de San Isidro,Básico,1
San José,San José,Municipalidad de San José,Básico,1
Alajuela,San Mateo,Municipalidad de San Mateo,Básico,1
Heredia,San Pablo,Municipalidad de San Pablo,Intermedio,0
Heredia,San Rafael,Municipalidad de San Rafael,Intermedio,0
Alajuela,San Ramon,Municipalidad de San Ramón,Intermedio,1
San José,Santa Ana,Municipalidad de Santa Ana,Intermedio,0
Heredia,Santa Barbara,Municipalidad de Santa Bárbara,Básico,1
Guanacaste,Santa Cruz,Municipalidad de Santa Cruz,Básico,1
Heredia,Santo Domingo,Municipalidad de Santo Domingo,Básico,1
Heredia,Sarapiquí,Municipalidad de Sarapiquí,Básico,1
Alajuela,Sarchi,Municipalidad de Sarchí,Intermedio,1
Limón,Siquirres,Municipalidad de Siquirres,Básico,1
Limón,Talamanca,Municipalidad de Talamanca,Básico,1
San José,Tarrazú,Municipalidad de Tarrazú,Básico,1
San José,Tibás,Municipalidad de Tibás,Básico,1
Guanacaste,Tilarán,Municipalidad de Tilarán,Básico,1
Cartago,Turrialba,Municipalidad de Turrialba,Básico,1
San José,Turrubares,Municipalidad de Turrubares,Básico,1
Alajuela,Upala,Municipalidad de Upala,Básico,1
San José,Vasquez de Coronado,Municipalidad de Vázquez de Coronado,Básico,1
Alajuela,Zarcero,Municipalidad de Zarcero,Básico,1
